ReferenceNumber,Make,PropulsionTypeId,BodyTypeId,GovRegion,KeeperTitleId,EngineSize,YearRegistered,Mass,CO2,CO,NOX,part,hc,Random number
3118,FORD,1,5,North West,1,4951,2016,1799,299,0.621,0.018,,0.046,0.584119985
3003,FORD,1,13,North West,2,1596,2016,1211,138,0.3,0.01,0.001,0.052,0.032607317
1641,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.545145037
1027,VOLKSWAGEN,2,14,London,4,1896,2002,1285,140,0.436,0.314,0.036,,0.663067266
373,FORD,1,14,South West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.700307326
1456,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.869317714
2418,VAUXHALL,1,14,North West,2,1398,2016,1163,120,0.463,0.01,,0.031,0.574696539
3542,VAUXHALL,1,13,South West,5,1398,2016,1141,118,0.463,0.01,,0.031,0.899973506
2868,FORD,2,6,South West,5,1997,2016,2030,152,0.314,0.042,0.001,,0.36181335
1947,BMW,2,13,London,5,1496,2016,1425,103,0.086,0.025,,,0.728844122
2014,FORD,2,14,London,2,1997,2016,1788,134,0.351,0.065,0.002,,0.193225737
862,VOLKSWAGEN,2,14,North West,1,1896,2002,0,146,0.177,,0.024,,0.724158966
1304,VOLKSWAGEN,2,2,North West,5,1968,2016,1501,116,0.079,0.062,,,0.525707904
3397,BMW,8,5,South West,1,1499,2016,1560,49,0.176,0.011,,0.007,0.640544386
234,FORD,2,6,London,2,1998,2002,1547,159,0.09,0.405,0.048,,0.978678285
3586,VOLKSWAGEN,1,14,South West,1,1984,2016,1505,159,0.609,0.047,,0.06,0.563701034
3063,BMW,2,6,South West,2,2993,2016,1935,157,0.206,0.052,,,0.303081465
460,VOLKSWAGEN,1,14,London,2,1198,2002,1120,142,0.474,0.015,,0.032,0.328462047
2240,VAUXHALL,2,6,South West,5,1598,2016,1393,92,0.268,0.047,,,0.910909081
842,FORD,1,14,North West,2,1596,2002,1164,165,0.518,0.059,,0.115,0.694932561
2702,BMW,2,6,London,1,1995,2016,1810,123,0.144,0.031,,,0.188615892
1234,VOLKSWAGEN,1,14,North West,1,1198,2002,1165,142,0.68,0.042,,0.03,0.403719071
555,FORD,1,96,North West,1,2295,2002,1736,242,0.559,0.078,,0.128,0.69249941
3054,VOLKSWAGEN,2,14,North West,5,1598,2016,1321,99,0.167,0.069,,,0.525481746
3234,VOLKSWAGEN,2,6,North West,4,1968,2016,1568,125,0.222,0.051,,,0.161303946
3066,BMW,2,2,North West,1,1995,2016,1705,109,0.144,0.031,,,0.68645257
416,FORD,1,13,South West,2,1988,2002,1213,204,0.679,0.145,,0.055,0.277413234
485,VAUXHALL,1,14,London,2,1389,2002,1660,173,0.247,0.023,,0.094,0.570411858
2650,VAUXHALL,1,96,London,5,1364,2016,1613,158,0.65,0.018,,0.03,0.171786327
2229,VAUXHALL,1,14,North West,1,1398,2016,1163,118,0.463,0.01,,0.031,0.327189755
1986,FORD,2,96,London,2,1997,2016,1833,134,0.305,0.054,,,0.973558157
897,FORD,1,96,South West,1,2295,2002,1736,264,0.341,0.084,,0.106,0.718888357
3766,BMW,1,5,London,1,1499,2016,1415,125,0.164,0.016,,0.041,0.416141409
1087,VAUXHALL,1,14,South West,1,1598,2002,1660,171,0.695,0.019,,0.054,0.139923474
2400,FORD,1,14,London,5,1596,2016,1365,146,0.645,0.023,,0.052,0.050142649
2158,VOLKSWAGEN,2,96,London,1,1968,2016,1845,139,0.062,0.064,,,0.349974843
3402,BMW,2,5,North West,1,1995,2016,1825,139,0.144,0.035,,,0.604351831
2244,BMW,2,5,South West,5,1995,2016,1615,114,0.128,0.023,,,0.322102737
3048,FORD,1,14,North West,1,998,2016,1177,99,0.355,0.041,0.001,0.067,0.70515295
2365,FORD,2,14,London,1,1997,2016,1642,112,0.177,0.042,,,0.607423822
2036,VAUXHALL,2,14,South West,5,1598,2016,1613,109,0.035,0.026,,,0.410384846
644,FORD,1,14,North West,1,1388,2002,1163,158,0.662,0.052,,0.137,0.560033756
3778,BMW,2,6,South West,1,1995,2016,1615,127,0.216,0.029,,,0.845408602
2472,TOYOTA,8,6,London,5,1798,2016,1490,81,0.182,0.005,,0.036,0.762987613
1637,VAUXHALL,1,14,North West,1,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.106734764
3692,VOLKSWAGEN,2,14,South West,1,1422,2016,1151,93,0.141,0.042,,,0.221362613
1839,VAUXHALL,2,6,North West,2,1956,2016,1733,124,0.08,0.06,,,0.364759499
3628,BMW,2,6,South West,2,1995,2016,1545,114,0.145,0.026,,,0.949075322
2261,VAUXHALL,2,14,South West,5,1248,2016,1225,87,0.141,0.063,,,0.543149979
2357,FORD,2,96,London,5,1997,2016,1830,129,0.234,0.048,,,0.833275357
2822,VOLKSWAGEN,1,14,North West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.014469822
2588,VAUXHALL,1,96,London,5,1364,2016,1613,168,0.435,0.014,,0.033,0.563142643
3307,TOYOTA,1,14,South West,1,998,2016,950,95,0.59,0.008,,0.033,0.255690847
165,FORD,2,14,South West,1,1998,2002,1506,156,0.204,0.443,0.026,,0.13502205
3789,FORD,2,14,South West,5,1499,2016,1170,94,0.351,0.051,,,0.378478447
941,FORD,1,14,South West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.319901675
503,VAUXHALL,1,14,London,1,973,2002,1430,135,0.342,0.048,,0.06,0.17419718
1359,BMW,1,4,London,2,1997,2016,1605,152,0.262,0.035,,0.035,0.263049902
1697,FORD,2,14,North West,1,1997,2016,1642,107,0.183,0.046,,,0.696771489
998,VOLKSWAGEN,1,13,South West,1,1198,2002,1092,142,0.474,0.015,,0.032,0.849047546
2547,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.826986308
2821,FORD,1,96,North West,5,999,2016,1449,117,0.473,0.035,0.003,0.056,0.285331659
1444,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.048851828
3135,VOLKSWAGEN,1,14,North West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.748041161
3123,VAUXHALL,1,14,South West,5,1398,2016,1163,120,0.463,0.01,,0.031,0.024227589
1733,VAUXHALL,1,14,London,1,1364,2016,1503,129,0.49,0.028,,0.034,0.035908067
230,VAUXHALL,1,14,South West,2,1199,2002,1470,154,0.211,0.031,,0.052,0.943706446
456,TOYOTA,1,14,South West,2,1299,2002,1050,144,0.88,0.04,,0.1,0.10177384
1951,VAUXHALL,1,13,North West,4,1364,2016,1199,122,0.276,0.013,,0.019,0.628504976
3610,FORD,2,96,North West,5,1997,2016,1828,129,0.239,0.048,,,0.283785194
1730,VOLKSWAGEN,1,14,South West,5,1984,2016,1486,165,0.522,0.05,,0.053,0.969266044
3309,BMW,2,14,South West,5,1496,2016,1395,89,0.119,0.037,,,0.516844367
909,BMW,1,4,London,1,2494,2002,1655,239,0.255,0.013,,0.086,0.369881958
2954,VOLKSWAGEN,1,14,South West,5,1984,2016,1486,165,0.522,0.05,,0.053,0.724303841
2417,VOLKSWAGEN,1,14,London,2,1984,2016,1392,145,0.362,0.029,,0.053,0.654981693
1954,BMW,2,6,London,5,1995,2016,1650,133,0.187,0.05,,,0.41147571
581,BMW,1,3,London,1,4941,2002,0,346,1.249,,,,0.472132212
2747,FORD,1,5,North West,1,4951,2016,1810,281,0.225,0.018,,0.029,0.418014751
2812,FORD,2,14,North West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.564205565
2148,VOLKSWAGEN,1,14,London,2,1197,2016,1107,107,0.157,0.039,,0.022,0.185054877
2587,BMW,2,6,London,4,1995,2016,1615,132,0.216,0.029,,,0.543811438
1451,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.428734465
677,FORD,1,6,North West,1,1596,2002,1180,165,0.518,0.059,,0.115,0.806169811
2427,FORD,2,14,South West,5,1499,2016,1183,82,0.358,0.062,,,0.145752989
2820,VAUXHALL,1,14,North West,1,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.498623467
3257,VAUXHALL,2,14,North West,5,1598,2016,1462,134,0.058,0.054,,,0.859479599
667,VAUXHALL,1,14,North West,2,1598,2002,1660,171,0.695,0.019,,0.054,0.034850216
364,FORD,1,14,North West,2,1596,2002,1167,165,0.518,0.059,,0.115,0.611910223
3000,FORD,2,14,North West,1,1997,2016,1681,122,0.145,0.059,0.001,,0.298961403
1489,VAUXHALL,1,96,South West,5,1364,2016,1613,168,0.435,0.014,,0.033,0.774685221
3437,VAUXHALL,2,14,South West,1,1598,2016,1613,104,0.056,0.054,,,0.010903954
1268,TOYOTA,1,14,London,2,998,2002,1050,137,0.43,0.03,,0.12,0.750348809
3442,BMW,2,2,South West,5,1995,2016,1505,99,0.148,0.03,,,0.416334119
2238,VAUXHALL,2,14,South West,5,1248,2016,1225,87,0.141,0.063,,,0.412276721
3147,VAUXHALL,2,14,North West,1,1598,2016,1449,114,0.163,0.048,,,0.849488054
3022,BMW,2,6,North West,5,1995,2016,1575,107,0.157,0.034,,,0.834216645
3252,VAUXHALL,2,14,North West,5,1598,2016,1449,109,0.209,0.046,,,0.259850947
1123,FORD,1,14,South West,2,1388,2002,1097,153,0.562,0.026,,0.08,0.887520328
477,VOLKSWAGEN,1,13,South West,1,1198,2002,1103,142,0.68,0.042,,0.03,0.139194391
2131,BMW,1,6,North West,1,1998,2016,1615,146,0.476,0.033,,0.048,0.531790283
1017,VAUXHALL,1,13,London,1,973,2002,1405,135,0.342,0.048,,0.06,0.679208058
1977,FORD,2,6,London,2,1997,2016,1532,115,0.145,0.052,,,0.284576368
757,FORD,2,14,London,1,1753,2002,1280,145,0.109,0.489,0.044,0.018,0.048535352
2762,VAUXHALL,1,96,North West,5,1364,2016,1613,158,0.65,0.018,,0.03,0.022644711
2993,FORD,2,14,North West,2,1499,2016,1170,94,0.351,0.051,,,0.527799116
3630,BMW,2,14,South West,2,1995,2016,1425,114,0.248,0.028,,,0.376432294
2084,VAUXHALL,2,14,North West,1,1598,2016,1335,88,0.268,0.047,,,0.760943721
739,VAUXHALL,1,14,North West,2,1598,2002,1660,171,0.695,0.019,,0.054,0.836257865
1394,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.673385809
2005,FORD,2,14,South West,1,1499,2016,1399,98,0.354,0.074,,,0.06094001
1051,VAUXHALL,2,96,London,1,1995,2002,2075,175,0.434,0.428,0.034,,0.164153824
3094,VAUXHALL,2,6,South West,5,1598,2016,1393,89,0.268,0.047,,,0.972383871
982,TOYOTA,1,96,London,1,1998,2002,1610,202,1.08,0.06,,0.09,0.432246825
2612,BMW,2,14,London,5,1496,2016,1395,94,0.172,0.028,,,0.421234903
2301,VOLKSWAGEN,2,2,South West,5,1598,2016,1444,105,0.243,0.039,,,0.110065042
3430,VAUXHALL,1,14,South West,1,1364,2016,1394,145,0.593,0.011,,0.03,0.108801707
3298,VOLKSWAGEN,1,6,North West,1,1984,2016,1574,162,0.609,0.047,,0.06,0.611484538
3105,VAUXHALL,2,96,London,5,1598,2016,1871,174,0.315,0.247,0.001,,0.511468772
829,VOLKSWAGEN,2,14,North West,1,1896,2002,0,140,0.081,,,,0.363545612
612,VAUXHALL,1,14,London,1,1389,2002,1550,173,0.371,0.026,,0.045,0.877694225
1648,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.762964655
2178,VOLKSWAGEN,1,13,South West,2,999,2016,929,105,0.457,0.013,,0.039,0.349509312
2327,BMW,1,2,London,1,1998,2016,1525,134,0.151,0.025,,0.04,0.342537631
271,TOYOTA,1,6,North West,1,1998,2002,1495,224,0.73,0.03,,0.1,0.034727924
1500,VAUXHALL,1,14,South West,1,999,2016,1263,102,0.328,0.026,0.002,0.028,0.321042776
630,VAUXHALL,1,96,London,1,1598,2002,1970,190,0.219,0.026,,0.037,0.590303149
1054,VOLKSWAGEN,1,13,North West,1,1390,2002,1012,149,0.217,0.04,,0.071,0.956620479
823,VOLKSWAGEN,2,14,North West,2,1896,2002,0,140,0.081,,,,0.447148701
3445,VOLKSWAGEN,2,6,South West,5,1968,2016,1503,107,0.137,0.067,,,0.914413473
3424,VOLKSWAGEN,1,14,South West,5,1984,2016,1486,165,0.522,0.05,,0.053,0.043704985
2234,VAUXHALL,2,14,South West,5,1248,2016,1225,84,0.071,0.019,,,0.13802493
3438,FORD,1,14,South West,2,998,2016,1177,99,0.355,0.041,0.001,0.067,0.300530156
86,FORD,1,13,North West,1,1299,2002,965,165,0.66,0.037,,0.09,0.339788519
2899,FORD,1,14,North West,5,1498,2016,1421,140,0.506,0.027,0.004,0.069,0.96953031
2659,FORD,2,14,London,1,1997,2016,1788,134,0.351,0.065,0.002,,0.816949178
433,BMW,2,6,London,1,2926,2002,2170,259,0.087,0.637,,,0.977878658
666,FORD,1,14,North West,1,1999,2002,1421,219,0.12,0.05,,0.07,0.150261219
1000,FORD,1,13,North West,2,1242,2002,989,161,0.296,0.061,,0.054,0.276600001
2368,BMW,2,2,London,5,1995,2016,1505,104,0.148,0.03,,,0.619864432
2770,BMW,1,6,North West,1,1499,2016,1520,127,0.329,0.018,,0.055,0.00490348
3093,VAUXHALL,2,6,South West,5,1598,2016,1393,89,0.268,0.047,,,0.979764346
2267,FORD,1,5,London,5,4951,2016,1810,281,0.225,0.018,,0.029,0.51939062
3569,VOLKSWAGEN,1,14,South West,1,1395,2016,1316,113,0.242,0.033,,0.048,0.961686516
1452,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.312799645
1119,FORD,1,14,South West,2,1796,2002,1195,181,0.895,0.043,,0.091,0.784853305
147,VOLKSWAGEN,1,13,North West,4,1596,2002,1280,180,0.53,0.031,,0.055,0.573565749
2247,BMW,2,14,London,1,1995,2016,1465,114,0.101,0.019,,,0.133753488
3339,FORD,1,14,South West,1,1498,2016,1380,127,0.471,0.018,0.001,0.057,0.47365522
231,FORD,1,6,South West,1,2495,2002,1518,240,0.174,0.019,,0.059,0.718696549
1449,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.281869931
2759,TOYOTA,8,14,South West,1,1798,2016,1470,70,0.131,0.016,,0.033,0.187813119
1990,FORD,1,14,South West,1,1498,2016,1380,127,0.471,0.018,0.001,0.057,0.139758354
3529,VAUXHALL,2,6,South West,5,1598,2016,1664,104,0.056,0.054,,,0.942226927
1408,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.188169786
2481,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.489755684
1667,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.560871514
1512,FORD,1,14,London,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.560384595
926,FORD,1,14,South West,1,1798,2002,1396,187,0.375,0.091,,0.077,0.142970155
2850,FORD,2,96,London,5,1499,2016,1661,119,0.353,0.076,0.001,,0.609923747
1619,BMW,2,13,South West,5,1496,2016,1395,106,0.172,0.028,,,0.129620942
1078,VAUXHALL,1,14,South West,2,1199,2002,1430,154,0.253,0.029,,0.054,0.034589592
1668,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.616757341
235,TOYOTA,1,14,South West,1,998,2002,975,137,0.43,0.03,,,0.908365729
2425,VAUXHALL,1,13,London,2,1229,2016,1086,125,0.474,0.013,,0.038,0.410828185
1378,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.022170893
830,FORD,1,13,North West,2,1242,2002,989,161,0.296,0.061,,0.054,0.056226951
2859,FORD,1,96,North West,1,998,2016,1332,114,0.385,0.044,0.002,0.058,0.543680158
2715,BMW,2,2,South West,5,1995,2016,1495,109,0.312,0.042,,,0.986545668
502,VOLKSWAGEN,1,14,South West,2,1390,2002,1194,156,0.165,0.047,,0.075,0.559735651
668,VAUXHALL,1,14,North West,2,1598,2002,1680,197,0.357,0.029,,0.044,0.668592074
944,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.046899856
1296,VOLKSWAGEN,2,14,South West,1,1896,2002,1404,146,0.177,0.363,0.024,,0.181266081
2398,FORD,1,14,London,5,998,2016,1364,125,0.428,0.037,0.001,0.053,0.355027332
95,VOLKSWAGEN,2,14,North West,1,1896,2002,1379,138,0.073,0.33,0.025,,0.84321871
1594,VOLKSWAGEN,1,14,North West,5,1395,2016,1280,112,0.252,0.04,,0.055,0.60480487
1435,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.617369275
134,VOLKSWAGEN,2,14,South West,1,1896,2002,1393,140,0.081,0.376,0.029,,0.252399431
3198,BMW,2,2,North West,1,1995,2016,1505,116,0.274,0.032,,,0.107276114
1551,BMW,8,6,North West,5,1997,2016,2305,78,0.185,0.015,,0.014,0.233334657
45,VAUXHALL,1,13,South West,2,973,2002,1405,135,0.342,0.048,,0.06,0.379221169
2792,VAUXHALL,1,13,North West,2,1229,2016,1086,125,0.474,0.013,,0.038,0.442963754
3593,BMW,2,2,South West,1,2993,2016,1900,137,0.24,0.026,,,0.29125851
1858,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.967221389
3775,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.085115493
1127,VOLKSWAGEN,1,13,South West,2,1781,2002,1372,194,0.646,0.017,,0.047,0.193165187
2542,BMW,2,13,London,2,1496,2016,1425,103,0.086,0.025,,,0.09869458
731,TOYOTA,1,13,North West,1,998,2002,1040,137,0.43,0.03,,0.12,0.865194398
2727,FORD,1,14,North West,5,1596,2016,1144,138,0.314,0.017,,0.037,0.618157987
3584,BMW,1,2,South West,1,1997,2016,1700,142,0.316,0.042,,0.044,0.798574015
1888,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.562641337
2056,TOYOTA,1,14,South West,5,998,2016,950,95,0.59,0.008,,0.033,0.231371289
2900,FORD,1,14,North West,1,1498,2016,1756,171,0.559,0.04,0.004,0.045,0.877320268
1022,VOLKSWAGEN,2,14,North West,1,1896,2002,1203,130,0.236,0.363,0.011,,0.868831484
449,FORD,1,14,South West,1,1596,2002,1189,192,0.518,0.059,,0.115,0.520246378
1066,VOLKSWAGEN,1,14,South West,4,1598,2002,1304,168,0.259,0.043,,0.056,0.079882916
2552,TOYOTA,8,14,London,1,1798,2016,1460,92,0.258,0.005,,0.058,0.90011863
3714,FORD,1,14,South West,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.13309584
1064,VOLKSWAGEN,2,2,South West,1,1896,2002,1533,154,0.181,0.313,0.04,,0.610325253
3441,VAUXHALL,2,14,North West,2,1598,2016,1462,134,0.058,0.054,,,0.037410312
1563,FORD,2,14,North West,5,1499,2016,1399,98,0.354,0.074,,,0.123614011
2647,TOYOTA,1,6,London,4,1987,2016,1640,152,0.308,0.023,,0.041,0.711039137
2982,FORD,1,14,North West,5,999,2016,1333,108,0.447,0.03,0.002,0.076,0.467320472
1662,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.684707064
989,VAUXHALL,1,14,South West,2,1199,2002,1445,154,0.211,0.031,,0.052,0.277397003
738,VAUXHALL,1,13,London,1,1199,2002,1430,154,0.211,0.031,,0.052,0.198433201
1088,FORD,1,14,South West,2,1388,2002,1097,153,0.562,0.026,,0.08,0.767517945
83,BMW,1,4,London,1,1995,2002,1570,203,0.811,0.053,,0.12,0.839122336
2569,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.377821789
2363,FORD,1,14,London,2,1242,2016,1095,122,0.518,0.027,,0.051,0.504927235
3670,VOLKSWAGEN,1,14,South West,2,999,2016,929,105,0.457,0.013,,0.039,0.611622388
3466,FORD,2,14,South West,2,1499,2016,1398,115,0.463,0.039,,,0.781380538
2120,BMW,2,2,South West,5,1995,2016,1705,119,0.144,0.031,,,0.079506319
1919,TOYOTA,8,14,South West,5,1497,2016,1186,75,0.196,0.006,,0.043,0.448618481
916,FORD,1,13,South West,2,1299,2002,965,154,0.395,0.103,,0.061,0.321623077
2823,VAUXHALL,1,14,North West,2,1364,2016,1394,145,0.593,0.011,,0.03,0.82791928
2450,TOYOTA,8,14,North West,5,1798,2016,1470,91,0.182,0.005,,0.036,0.095994696
370,FORD,1,13,London,2,1988,2002,1213,204,0.679,0.145,,0.055,0.874914405
3421,BMW,2,2,South West,5,1995,2016,1495,109,0.312,0.042,,,0.175912631
3146,VOLKSWAGEN,1,14,North West,1,1984,2016,1505,159,0.609,0.047,,0.06,0.994420273
1083,VAUXHALL,1,14,South West,2,1199,2002,1455,154,0.211,0.031,,0.052,0.599273624
2790,BMW,2,14,North West,5,1496,2016,1440,104,0.098,0.053,,,0.469096666
1588,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.432092213
2201,VAUXHALL,2,14,South West,5,1598,2016,1613,109,0.035,0.026,,,0.416919279
1564,BMW,1,5,South West,1,4395,2016,1950,231,0.523,0.014,,0.043,0.13813493
3624,VOLKSWAGEN,1,14,South West,1,999,2016,929,105,0.457,0.013,,0.039,0.384397355
796,VOLKSWAGEN,2,14,South West,4,1422,2002,1251,122,0.075,0.386,0.025,,0.95407738
1495,BMW,2,6,North West,1,2993,2016,2145,158,0.186,0.057,,,0.511388504
3057,FORD,1,14,North West,5,1498,2016,1645,143,0.913,0.058,0.002,0.054,0.182181671
1827,VAUXHALL,1,14,North West,2,1598,2016,1355,159,0.809,0.012,,0.051,0.188548291
879,TOYOTA,1,3,London,2,1497,2002,0,164,1.007,,,,0.706710766
1678,FORD,2,96,South West,5,1997,2016,1828,129,0.239,0.048,,,0.215404224
452,BMW,1,2,South West,1,1796,2002,1385,172,0.76,0.059,,0.103,0.880461138
3812,FORD,1,13,South West,2,1242,2016,1088,122,0.518,0.027,,0.051,0.202098327
658,FORD,1,13,North West,1,1679,2002,1113,178,0.656,0.083,,0.066,0.662094189
3448,VAUXHALL,1,14,North West,1,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.213203774
1640,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.02563535
3474,VAUXHALL,1,14,London,2,1398,2016,1199,137,0.645,0.008,,0.044,0.313943756
3426,BMW,2,6,South West,1,2993,2016,2185,159,0.161,0.057,,,0.729379838
164,TOYOTA,2,14,South West,1,1998,2002,1490,158,0.33,0.49,0.044,,0.042834471
567,VOLKSWAGEN,1,13,London,4,1390,2002,1143,154,0.165,0.047,,0.075,0.111619322
8,VAUXHALL,1,96,London,1,1796,2002,2000,219,0.486,0.013,,0.037,0.670300211
2691,FORD,2,96,London,5,1499,2016,1533,109,0.338,0.07,,,0.013509383
2799,VAUXHALL,1,14,North West,5,1364,2016,1409,149,0.699,0.008,,0.044,0.006454954
1831,VAUXHALL,1,13,North West,1,1364,2016,1437,142,0.58,0.014,,0.034,0.331531294
350,FORD,1,14,South West,1,1988,2002,1242,207,0.679,0.145,,0.055,0.449242103
1875,VAUXHALL,1,14,South West,5,999,2016,1199,100,0.3,0.037,0.001,0.033,0.092359653
917,FORD,1,13,London,2,1299,2002,965,154,0.395,0.103,,0.061,0.962051212
2416,VOLKSWAGEN,2,14,London,1,1968,2016,1394,119,0.079,0.063,,,0.441806613
1969,FORD,1,14,London,1,1498,2016,1645,143,0.913,0.058,0.002,0.054,0.979518479
1516,VOLKSWAGEN,1,13,South West,4,1984,2016,1495,159,0.609,0.047,,0.06,0.62008374
524,BMW,1,4,North West,1,1995,2002,0,187,0.852,,,,0.649672676
2642,VAUXHALL,1,14,London,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.003224404
2116,VAUXHALL,1,13,London,1,1398,2016,1141,118,0.463,0.01,,0.031,0.466407134
3324,BMW,1,14,North West,1,1998,2016,1505,130,0.403,0.018,,0.065,0.799708441
661,FORD,1,13,North West,1,1596,2002,1154,165,0.518,0.059,,0.115,0.959816598
3533,VOLKSWAGEN,1,14,South West,1,999,2016,1055,108,0.535,0.012,,0.039,0.842395732
2211,FORD,2,14,South West,2,1499,2016,1170,94,0.262,0.047,,,0.914853343
3790,FORD,2,13,South West,5,1499,2016,1159,94,0.351,0.051,,,0.324867007
846,VOLKSWAGEN,1,14,North West,2,1390,2002,1338,163,0.121,0.04,,0.074,0.900060855
3515,VAUXHALL,2,14,South West,5,1598,2016,1335,88,0.268,0.047,,,0.876396885
1870,VAUXHALL,2,14,South West,5,1248,2016,1237,100,0.141,0.063,,,0.117068298
3229,VAUXHALL,1,14,North West,5,1398,2016,1199,137,0.645,0.008,,0.044,0.12033259
2315,VAUXHALL,1,14,London,5,1399,2016,1308,127,0.484,0.006,0.002,0.037,0.461298907
1511,FORD,1,14,South West,1,2261,2016,1583,175,0.239,0.046,0.001,0.048,0.432353587
2981,VAUXHALL,1,14,North West,2,1364,2016,1237,122,0.276,0.013,,0.019,0.789354065
866,VOLKSWAGEN,2,14,South West,1,1896,2002,0,146,0.081,0.376,0.029,,0.913462003
1160,BMW,1,13,South West,4,2494,2002,1480,215,0.494,0.017,,0.079,0.223807995
3784,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.742453834
2589,FORD,2,6,London,5,1997,2016,1661,115,0.177,0.042,,,0.522902009
1788,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.117611864
1722,FORD,2,96,South West,5,1997,2016,1828,129,0.239,0.048,,,0.552178516
3282,VAUXHALL,1,14,North West,5,1364,2016,1445,155,0.639,0.016,,0.03,0.684749643
1922,VOLKSWAGEN,1,14,London,2,1395,2016,1247,120,0.158,0.034,,0.028,0.569238097
2320,FORD,2,14,North West,5,1997,2016,1788,134,0.351,0.065,0.002,,0.320934034
3140,TOYOTA,1,14,North West,2,998,2016,950,95,0.59,0.008,,0.033,0.975850387
2106,VAUXHALL,2,14,North West,2,1598,2016,1350,103,0.17,0.032,0.001,,0.991782771
3655,VAUXHALL,2,14,South West,5,1598,2016,1613,99,0.056,0.054,,,0.367899999
116,VAUXHALL,1,14,South West,2,1598,2002,1660,171,0.695,0.019,,0.054,0.785573585
491,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.15682483
2984,BMW,2,6,North West,5,1995,2016,1605,119,0.128,0.023,,,0.315306739
3399,BMW,2,14,London,1,1995,2016,1425,114,0.248,0.028,,,0.202908229
520,VOLKSWAGEN,2,14,London,1,1896,2002,1396,146,0.081,0.376,0.029,,0.460812353
3385,VAUXHALL,1,14,North West,2,1398,2016,1163,118,0.463,0.01,,0.031,0.42769481
1095,FORD,2,14,South West,1,1399,2002,1166,121,0.154,0.423,0.036,,0.402009278
2886,BMW,1,2,North West,1,1998,2016,1505,138,0.213,0.022,,0.053,0.386416741
1836,VAUXHALL,1,14,London,2,1398,2016,1199,137,0.645,0.008,,0.044,0.654924435
3821,VAUXHALL,1,13,South West,5,1398,2016,1141,118,0.463,0.01,,0.031,0.115235566
2988,BMW,1,14,North West,1,1499,2016,1380,116,0.164,0.016,,0.041,0.69532745
856,TOYOTA,1,5,London,1,1796,2002,0,200,,,,,0.584446109
151,TOYOTA,1,13,North West,2,998,2002,1040,137,0.43,0.03,,0.12,0.908458583
787,VAUXHALL,1,96,London,1,1598,2002,1970,190,0.219,0.026,,0.037,0.57633597
2198,VOLKSWAGEN,2,14,South West,5,1968,2016,1429,127,0.067,0.07,,,0.657392821
388,FORD,2,6,South West,1,1753,2002,1310,145,0.347,0.489,0.044,0.042,0.839780454
